fromStationCode,toStationCode
ANVT,CNJ
ATT,ATTB
BMHR,CWCB
DRLA,DSWD
JIND,PPDE
NLH,AAGN
PHWR,FCP
PHWR,MAAP
PPDE,KURN
POY,MALP
ABO,ROK
ANDI,DBSC
ANDI,DBS
ANDI,DDSN
ANDI,NUR
ANDI,PTNH
ASE,ABO
ASE,HPCA
AST,BPAG
AST,BVH
AST,(AGR
AST,IDA
AST,MATP
BOMJ,DWNA
BOMJ,IBBM
BHHZ,NOL
BHMW,PPDE
BHUL,ICB
BMHR,TPZ
BVH,FDB
BVH,HABS
BVH,HSYG
BVH,COB
BVH,SWIG
BWSN,BPCB
BWSN,GHH
CNJ,VVB
DAZ,ANDE
DBHL,GRH
DBSC,DBSI
DBSC,PTNR
DBS,BSDB
DEC,BWSN
DEC,COOD
DEC,CVDS
DEC,DEBS
DEC,ESO
DEC,FCDB
DEC,MSDD
DEE,DSB
DEE,PINR
DKZ,DBSI
DKZ,DEE
DKZ,DSB
DLI,DEE
OLI,DKZ
DLI,DSA
OLI,SZM
DRLA,ÎšÎ‘Î¤
DSA,BHHZ
DSA,VVB
DSB,DLI
DSB,SZM
DSJ,CPWD
DSJ,PINA
OWNA,NFLD
OWNA,PCWD
DWNA,ENP
FDB,FOSG
FDB,HBSG
FDB,NHFG
FDB,TKD
GHE,ASE
SHE,EGG
GHE,ICBP
GHH,FN
GHH,GOGH
GHH,PI
GHNA,BHMW
GRHI,HNS
GUH,JTCG
GUH,MUD
GUH,SAIL
GZB,COIL
GZB,CYZ
GZB,GTMS
GZB,GUH
GZB,LILG
JHL,SSZ
JHL,KUDN
JIND,NHW
JIND,NHW
KAT,BMHR
KKDE,UMB
KUN,KKDE
KUN,MFCS
KURN,BHUL
KURNI,PNP
KZW,Ð’Ð¢Ð†Ð’
KZW,PSKS
LPNR,DSJ
LPNR,LPNC
LPNR,NZM
LPNR,OKA
MOHR,GHNA
MTC,POY
MTC,MXX
MUD,MUZ
MUD,PHOL
MUD,PHOL
MUZ,PMKM
MUZ,PRIP
MWC,CNJ
NDLS,DSB
NDLS,EPHI
NDLS,EPHN
NLH,PNP
NNO,GHE
NNO,HGIN
NOLI,CWCN
NOLI,TP2
NEW,FCSN
NRW,JHL
NEW,PHWR
NUR,FCE
NUR,SNP
NUR,SNP
NZM,HHFH
NZM,MWC
NZM,OKA
NZM,RMDH
NZM,TFAH
NZM,TKJ
OKA,OKAC
OKA,OKSG
PHWA,KKDE
PNP,FOPP
PNP,KUN
PNP,TPAP
POY,ORLA
PRIP,APLP
PRTP,MTC
PI,POLL
PI,RE
PINR,DBSI
PINH,DEC
PENR,SSB
PWL,AST
PWL,HTPP
RE,ABO
ROK,DBHL
ROK,GHNA
ROK,ND
RUG,BOMJ
RUG,PCRG
SBB,CNJ
SBB,GZB
SBB,MILS
SNP,ICSP
SNP,ICSP
SNP,MOHR
SNP,MOHR
SNP,RUG
SNP,RUG
SSB,DBSC
SSB,DBSI
SSB,NNO
SSB,SDCO
SSB,SPPS
SSZ,KZW
SSZ,MTSS
SZM,DAZ
TKD,BPHT
TKD,HSLT
TKD,COD
TKD,MOST
TKD,OKA
TKD,TOMS
TKD,TICO
TKD,TIST
TKJ,MWC
TKJ,NOES
TPZ,KJGY
TPZ,SHE
WE,BHHZ
VVB,SBB
BHMW,GJAB
BAHL,SGON
MCTM,SVDK
PIK,PIKC
PTKC,KNDI
SGON,REAL
FGCN,DSGF
RDS,MRSR
ANT,QG
ASR,ALT
ASR,VKA
BAT,CHN
BAT,MRSB
BAT,CON
BHRL,PTK
CHN,DHW
CHN,NBGC
DHW,GSF
DNN,MRSD
ONN,SBM
FZP,HSW
GSP,DNN
GSP,MRGR
KNG,BAT
KNG,GNCK
MZMA,BRML
NGHT,JONX
NGHT,NMS
NSS,JJJ
NSS,AHU
PTK,MDSP
PTK,PMST
PTK,FTKN
PTK,PWDP
PTKC,PIK
FTKN,NGRT
OG,BAHL
SINA,ANT
SINA,MZMA
SRM,BHRL
SRM,MBPS
VKA,KNG
ABS,FKA
ASR,ASRD
ASR,BGTN
ASR,MRSA
BBMN,JAT
BBMN,MSBB
BEAS,BLUR
BEAS,KDSB
BEAS,IRA
BGTN,CWHB
BGTN,TTO
BHRL,DRHO
BHRL,FTKO
BHRL,SJNP
B,KKP
DAU,FGDA
DAU,TWB
DDL,DICD
DDL,LOH
DZA,DSGD
DZA,KNDI
FDK,ELRF
FDK,FZR
FGCN,RDS
EZF,FKA
F28,FZP
FZR,MOSF
FZH,MRFC
GWSB,TTO
HSQ,HRCF
HSQ,LNK
JAT,FCSJ
JAT,MCTM
JAT,SPJT
JRC,HSX
JRC,JUC
JRC,SCPD
JUC,KXH
JUC,NRO
JUC,SCPD
JUC,SAX
KDSB,GVKK
KDSB,GWSB
KKP,ELRK
KKP,FCSK
KKP,FDK
KKP,FKA
KNDI,KMRP
KNDI,PTKC
KTHU,DSKP
KTHU,SMBX
KXH,HSQ
KXH,MRKS
LDH,MOGA
LDH,PHR
LNK,FZR
MOGA,DAU
MOGA,FCMA
MOGA,FSL
MOGA,PLRM
NRO,LNK
PGW,JRC
PGW,NSS
PHR,ICPH
PHR,NRO
PHR,PGW
PTKC,CWCK
RDS,DBNK
SCPD,IOSJ
SCPD,TDO
SJNP,ETPS
SJNP,KTHU
SJNP,TDRP
SMBX,ASGS
SMBX,VJPJ
SNL,ISNL
SNL,PGFS
SNL,DDL
SNL,FCSS
SNL,MRSW
SRX,ABSD
SRX,BEAS
SRX,HSTL
TDO,DZA
TDO,MATU
TRA,ASR
TRA,MSRT
TTO,KEMK
TTQ,MRST
LNWT,LKOY
DMW,DYP
DMW,ON
PRG,PYGS
UCR,DMW
